,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1,8.1915161893,8.267766594,8.3409561346,8.4073847645,8.4637297004,8.5080938897,8.5404906888,8.5627479839,8.5779339111,8.5895071185,8.6004464799,8.6126025324,8.6264383758,8.641211339,8.6555199494,8.6680380022,8.6782065094,8.6866684913,8.695306534,8.7068577477,8.7242033192,8.7495263005,8.7835747859,8.8252459107,8.8716246458,8.9184919644,8.9611917388,8.995648412,9.0192842455,9.0316073664,9.0343238996,9.0309472458,9.0260033158,9.0240292504,9.0286095312,9.0416763958,9.0632271525,9.0915004601,9.1235371115,9.155959243,9.1857584207,9.2108971406,9.2305933436,9.2452532419,9.2561160963,9.2647479058,9.2725498835,9.2804262861,9.2886940558,9.297235795
2,7.9132755848,7.9895259895,8.0627155301,8.1291441601,8.1854890959,8.2298532852,8.2622500844,8.2845073795,8.2996933066,8.311266514,8.3222058755,8.3343619279,8.3481977713,8.3629707345,8.377279345,8.3897973977,8.399965905,8.4084278868,8.4170659296,8.4286171432,8.4459627147,8.4712856961,8.5053341815,8.5470053062,8.5933840414,8.64025136,8.6829511343,8.7174078075,8.741043641,8.753366762,8.7560832951,8.7527066413,8.7477627113,8.745788646,8.7503689267,8.7634357914,8.7849865481,8.8132598556,8.845296507,8.8777186386,8.9075178162,8.9326565362,8.9523527391,8.9670126375,8.9778754918,8.9865073013,8.994309279,9.0021856816,9.0104534513,9.0189951906
3,7.6386780218,7.7149284264,7.788117967,7.854546597,7.9108915329,7.9552557222,7.9876525213,8.0099098164,8.0250957436,8.036668951,8.0476083124,8.0597643649,8.0736002083,8.0883731715,8.1026817819,8.1151998347,8.1253683419,8.1338303237,8.1424683665,8.1540195802,8.1713651517,8.196688133,8.2307366184,8.2724077431,8.3187864783,8.3656537969,8.4083535712,8.4428102445,8.4664460779,8.4787691989,8.481485732,8.4781090782,8.4731651483,8.4711910829,8.4757713637,8.4888382283,8.510388985,8.5386622926,8.5706989439,8.6031210755,8.6329202531,8.6580589731,8.6777551761,8.6924150744,8.7032779288,8.7119097382,8.7197117159,8.7275881185,8.7358558882,8.7443976275
4,7.3729192705,7.4491696751,7.5223592158,7.5887878457,7.6451327816,7.6894969709,7.72189377,7.7441510651,7.7593369923,7.7709101997,7.7818495611,7.7940056136,7.807841457,7.8226144202,7.8369230306,7.8494410834,7.8596095906,7.8680715724,7.8767096152,7.8882608289,7.9056064004,7.9309293817,7.9649778671,8.0066489918,8.053027727,8.0998950456,8.1425948199,8.1770514932,8.2006873266,8.2130104476,8.2157269807,8.2123503269,8.207406397,8.2054323316,8.2100126124,8.223079477,8.2446302337,8.2729035413,8.3049401926,8.3373623242,8.3671615018,8.3923002218,8.4119964248,8.4266563231,8.4375191775,8.4461509869,8.4539529646,8.4618293672,8.470097137,8.4786388762
5,7.122167951,7.1984183556,7.2716078963,7.3380365262,7.3943814621,7.4387456514,7.4711424505,7.4933997456,7.5085856728,7.5201588802,7.5310982416,7.5432542941,7.5570901375,7.5718631007,7.5861717111,7.5986897639,7.6088582711,7.6173202529,7.6259582957,7.6375095094,7.6548550809,7.6801780622,7.7142265476,7.7558976723,7.8022764075,7.8491437261,7.8918435005,7.9263001737,7.9499360071,7.9622591281,7.9649756613,7.9615990075,7.9566550775,7.9546810121,7.9592612929,7.9723281575,7.9938789142,8.0221522218,8.0541888731,8.0866110047,8.1164101823,8.1415489023,8.1612451053,8.1759050036,8.186767858,8.1953996674,8.2032016452,8.2110780478,8.2193458175,8.2278875567
6,6.8925488314,6.9687992361,7.0419887767,7.1084174067,7.1647623425,7.2091265318,7.241523331,7.2637806261,7.2789665532,7.2905397606,7.3014791221,7.3136351745,7.3274710179,7.3422439811,7.3565525915,7.3690706443,7.3792391516,7.3877011334,7.3963391762,7.4078903898,7.4252359613,7.4505589427,7.4846074281,7.5262785528,7.572657288,7.6195246066,7.6622243809,7.6966810541,7.7203168876,7.7326400086,7.7353565417,7.7319798879,7.7270359579,7.7250618926,7.7296421733,7.742709038,7.7642597947,7.7925331022,7.8245697536,7.8569918852,7.8867910628,7.9119297828,7.9316259857,7.9462858841,7.9571487384,7.9657805479,7.9735825256,7.9814589282,7.9897266979,7.9982684372
7,6.6892860607,6.7655364654,6.838726006,6.905154636,6.9614995718,7.0058637611,7.0382605602,7.0605178554,7.0757037825,7.0872769899,7.0982163514,7.1103724038,7.1242082472,7.1389812104,7.1532898208,7.1658078736,7.1759763808,7.1844383627,7.1930764054,7.2046276191,7.2219731906,7.2472961719,7.2813446573,7.3230157821,7.3693945172,7.4162618359,7.4589616102,7.4934182834,7.5170541169,7.5293772378,7.532093771,7.5287171172,7.5237731872,7.5217991218,7.5263794026,7.5394462672,7.560997024,7.5892703315,7.6213069829,7.6537291144,7.6835282921,7.708667012,7.728363215,7.7430231133,7.7538859677,7.7625177772,7.7703197549,7.7781961575,7.7864639272,7.7950056664
8,6.5160503154,6.5923007201,6.6654902607,6.7319188907,6.7882638265,6.8326280158,6.8650248149,6.8872821101,6.9024680372,6.9140412446,6.9249806061,6.9371366585,6.9509725019,6.9657454651,6.9800540755,6.9925721283,7.0027406355,7.0112026174,7.0198406601,7.0313918738,7.0487374453,7.0740604266,7.108108912,7.1497800368,7.1961587719,7.2430260906,7.2857258649,7.3201825381,7.3438183716,7.3561414926,7.3588580257,7.3554813719,7.3505374419,7.3485633765,7.3531436573,7.3662105219,7.3877612787,7.4160345862,7.4480712376,7.4804933691,7.5102925468,7.5354312667,7.5551274697,7.569787368,7.5806502224,7.5892820319,7.5970840096,7.6049604122,7.6132281819,7.6217699211
9,6.374542179,6.4507925836,6.5239821243,6.5904107542,6.6467556901,6.6911198794,6.7235166785,6.7457739736,6.7609599008,6.7725331082,6.7834724696,6.7956285221,6.8094643655,6.8242373287,6.8385459391,6.8510639919,6.8612324991,6.8696944809,6.8783325237,6.8898837374,6.9072293089,6.9325522902,6.9666007756,7.0082719003,7.0546506355,7.1015179541,7.1442177284,7.1786744017,7.2023102351,7.2146333561,7.2173498892,7.2139732354,7.2090293055,7.2070552401,7.2116355209,7.2247023855,7.2462531422,7.2745264498,7.3065631011,7.3389852327,7.3687844103,7.3939231303,7.4136193333,7.4282792316,7.439142086,7.4477738954,7.4555758731,7.4634522757,7.4717200455,7.4802617847
10,6.2643266608,6.3405770655,6.4137666061,6.4801952361,6.5365401719,6.5809043612,6.6133011603,6.6355584555,6.6507443826,6.66231759,6.6732569515,6.6854130039,6.6992488473,6.7140218105,6.7283304209,6.7408484737,6.751016981,6.7594789628,6.7681170055,6.7796682192,6.7970137907,6.822336772,6.8563852574,6.8980563822,6.9444351173,6.991302436,7.0340022103,7.0684588835,7.092094717,7.104417838,7.1071343711,7.1037577173,7.0988137873,7.0968397219,7.1014200027,7.1144868674,7.1360376241,7.1643109316,7.196347583,7.2287697145,7.2585688922,7.2837076122,7.3034038151,7.3180637134,7.3289265678,7.3375583773,7.345360355,7.3532367576,7.3615045273,7.3700462666
