Quote Reference,Age,Vehicle.Group,Policy.Price
C00-NPU,95,8,426.62
C62-GNJ,95,7,547.26
CFB-7AG,95,7,547.26
CF4-YGS,94,7,547.26
CW6-675,93,9,674.58
C44-GN3,93,9,1991.72
C4A-LMA,93,9,2107.98
CKL-9Z8,93,9,651.03
CAP-UDU,93,9,651.03
CZE-3VB,90,11,408.64
CR0-8E4,90,11,408.64
C9S-63T,90,11,408.64
C44-8F7,90,9,387.96
CA6-1BW,90,9,421.88
C92-B5N,89,9,193.56
CY1-PP1,89,9,193.56
CJH-C8N,89,11,262.98
CY6-7W1,89,13,355.1
CT2-1GZ,88,12,500.32
CMY-VL0,88,12,500.32
CLD-X39,88,7,419.76
C81-1AR,88,8,334.45
C0N-SZE,88,7,708.08
CYT-GVV,88,16,1968.42
CM2-493,88,22,2032.02
CNW-U7B,88,6,1608.02
C7S-UF4,88,8,622.26
C29-PDH,87,7,370.43
C1D-1SH,87,17,436.72
C70-KHP,87,5,300.02
C8Y-B8X,87,5,300.02
CWA-91T,87,12,421.88
C0R-98B,87,9,362.52
C7X-37R,87,5,258.74
CR7-LCH,86,6,616.65
CTB-27X,86,31,1172.36
CV3-HP6,86,12,326.64
CV0-N7S,86,9,384.78
CV0-N7S,86,9,384.78
CV0-N7S,86,9,384.78
CV0-N7S,86,9,384.78
C8R-W62,86,7,328.6
CM9-WX1,86,7,431.42
C46-BM6,86,7,418.7
C95-Y38,86,7,441.62
CW0-DLN,88,11,629.16
C5M-Z3Y,88,11,456.86
C6Z-394,85,21,696.42
CT6-H93,84,5,313.76
C09-EC8,84,8,318
CCW-XV9,84,8,470.52
CZ8-DXP,84,8,470.52
CUC-1S5,84,15,495.93
C9G-N17,84,11,536.36
CAG-P1W,84,13,538.43
C9F-0K4,84,13,538.43
CEX-976,84,13,538.43
CU4-9S9,84,13,538.43
C5G-ES7,84,11,524.23
C7X-GAB,84,6,440.19
CDN-WN6,84,8,438.55
CR0-VRY,84,8,428.03
CU2-E1K,84,11,235.33
C8U-K45,84,32,372.06
CZ8-W3N,84,6,367.82
C86-C1Y,83,12,362.52
C5G-E97,83,12,437.78
C1S-T29,83,12,437.78
